Calibration ID,2,2,2,2,2,2,2,2
File Format,RoX,RoX,RoX,RoX,RoX,RoX,RoX,RoX
Instrument,D-FloX 1.1 JB-015-AD - Broadrange,D-FloX 1.1 JB-015-AD - Broadrange,D-FloX 1.1 JB-015-AD - Broadrange,D-FloX 1.1 JB-015-AD - Broadrange,D-FloX 1.1 JB-015-AD - Broadrange,D-FloX 1.1 JB-015-AD - Broadrange,D-FloX 1.1 JB-015-AD - Broadrange,D-FloX 1.1 JB-015-AD - Broadrange
Measurement unit,Reflectance,Reflectance,Reflectance,Reflectance,Reflectance,Reflectance,Reflectance,Reflectance
Sensor,"JB Hyperspectral, 1023 bands (341.57602-1022.4447 [nm])","JB Hyperspectral, 1023 bands (341.57602-1022.4447 [nm])","JB Hyperspectral, 1023 bands (341.57602-1022.4447 [nm])","JB Hyperspectral, 1023 bands (341.57602-1022.4447 [nm])","JB Hyperspectral, 1023 bands (341.57602-1022.4447 [nm])","JB Hyperspectral, 1023 bands (341.57602-1022.4447 [nm])","JB Hyperspectral, 1023 bands (341.57602-1022.4447 [nm])","JB Hyperspectral, 1023 bands (341.57602-1022.4447 [nm])"
Acquisition Time,2018-06-26 10:31:32,2018-06-26 10:32:18,2018-06-26 10:33:04,2018-07-19 10:35:10,2018-07-19 10:35:55,2018-07-19 10:36:40,2018-09-11 10:34:45,2018-09-11 10:35:31
Acquisition Time (UTC),2018-06-26 09:31:28,2018-06-26 09:32:14,2018-06-26 09:33:00,2018-07-19 09:35:07,2018-07-19 09:35:52,2018-07-19 09:36:37,2018-09-11 09:34:44,2018-09-11 09:35:30
Calibration Number,20180131,20180131,20180131,20180131,20180131,20180131,20180131,20180131
EVI,0.8277063084033092,0.8097771113604626,0.811814830078106,0.811346721138606,0.8158572114940799,0.806569793613731,0.7844133480341875,0.784777911253038
File Name,493-VEG (F030026.CSV),494-VEG (F030026.CSV),495-VEG (F030026.CSV),498-VEG (F030019.CSV),499-VEG (F030019.CSV),500-VEG (F030019.CSV),465-VEG (F030027.CSV),466-VEG (F030027.CSV)
Integration Time,29000,28000,26000,26000,26000,26000,33000,32000
Irradiance Instability,4.635884563913097,0.1461075451434851,3.6830899539469115,0.05221741875941128,0.4321406091124776,0.35296428615275066,0.04324220439148609,0.4481028688324972
Loading Time,2019-10-03 07:21:34,2019-10-03 07:21:34,2019-10-03 07:21:34,2019-10-03 07:22:37,2019-10-03 07:22:37,2019-10-03 07:22:37,2019-10-03 07:19:59,2019-10-03 07:19:59
MTCI,4.616790981664299,4.582210888371904,4.555960646429973,4.2199061434117064,4.186845782782267,4.210496880029149,3.23952953505928,3.2826362403392984
NDVI,0.9200440688809265,0.9197342177541261,0.9190180949593508,0.9146686855652514,0.9142577030896603,0.9140992637159381,0.8970079416341251,0.8979672043434788
NDVIre,0.7141469578264492,0.7132904477359728,0.7116991227624071,0.699404028588649,0.6974828056963024,0.7004384384054595,0.6370851196573992,0.6421085868110245
PCB Humidity,28.6,28.6,28.5,23.2,23.2,23.2,28.0,28.1
PCB Temperature,29.6,29.6,29.6,37.5,37.5,37.5,35.4,35.5
PRI,0.07831044165705,0.08150297168091926,0.08367153989841151,0.08556401090385761,0.08900089295769074,0.08872444849012222,0.11513457406186305,0.11590326192576221
Processing Level,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
REP,727.564070120317,727.7637897861468,727.5976487222491,727.3869389510495,727.4404092277557,727.1174254604197,726.0068378176296,725.8720592162424
SR680800,24.013779115667163,23.91721807274621,23.69687517225105,22.438054520176944,22.325710554399866,22.282687512552545,18.418972993967035,18.60154073140084
Saturation Count,0,0,0,0,0,0,0,0
