wl;up_coef;dw_coef;wl_F;up_coef_F;dw_coef_F;Device ID
664.3097936;0.00386195;0.001526108;404.7861037;0.000127491;0.00120223;
664.4830471;0.003853764;0.001522417;405.5314782;0.000125868;0.001187348;
664.6562686;0.003845777;0.001518764;406.2766834;0.000124275;0.001172687;
664.829458;0.00383799;0.001515154;407.0217194;0.000122715;0.001158265;
665.0026154;0.003830373;0.001511588;407.7665862;0.000121186;0.0011441;
665.1757407;0.003822886;0.001508065;408.5112835;0.000119689;0.001130209;
665.348834;0.003815491;0.001504584;409.2558116;0.000118225;0.001116609;
665.5218952;0.003808149;0.001501145;410.0001701;0.000116795;0.001103316;
665.6949243;0.003800822;0.001497745;410.7443592;0.0001154;0.001090351;
665.8679214;0.003793472;0.001494386;411.4883787;0.000114042;0.001077739;
666.0408864;0.003786069;0.001491065;412.2322286;0.000112725;0.001065508;
666.2138193;0.003778629;0.00148778;412.9759089;0.000111453;0.001053686;
666.3867202;0.003771176;0.001484527;413.7194195;0.000110229;0.001042299;
666.559589;0.003763737;0.001481304;414.4627603;0.000109057;0.001031377;
666.7324257;0.003756336;0.001478106;415.2059314;0.000107938;0.001020926;
666.9052303;0.003748999;0.00147493;415.9489325;0.000106869;0.001010875;
667.0780028;0.00374175;0.001471774;416.6917638;0.000105844;0.001001131;
667.2507432;0.003734608;0.001468634;417.4344251;0.000104857;0.000991602;
667.4234515;0.003727569;0.001465513;418.1769163;0.000103902;0.000982196;
667.5961277;0.003720621;0.001462413;418.9192375;0.000102973;0.000972822;
667.7687719;0.003713754;0.001459336;419.6613886;0.000102064;0.000963388;
667.9413839;0.003706956;0.001456285;420.4033695;0.00010117;0.000953822;
668.1139638;0.003700217;0.001453262;421.1451802;0.000100285;0.000944136;
668.2865116;0.003693525;0.00145027;421.8868207;9.94E-05;0.000934357;
668.4590273;0.003686869;0.00144731;422.6282908;9.85E-05;0.000924518;
668.6315108;0.003680241;0.001444383;423.3695905;9.76E-05;0.000914648;
668.8039622;0.003673629;0.001441489;424.1107197;9.67E-05;0.000904776;
668.9763816;0.003667025;0.001438627;424.8516785;9.58E-05;0.00089493;
669.1487687;0.003660419;0.001435798;425.5924668;9.49E-05;0.000885124;
669.3211238;0.003653801;0.001433001;426.3330845;9.39E-05;0.000875369;
669.4934467;0.003647162;0.001430236;427.0735315;9.30E-05;0.000865674;
669.6657375;0.003640499;0.001427503;427.8138078;9.20E-05;0.00085605;
669.8379961;0.003633837;0.001424799;428.5539134;9.10E-05;0.000846509;
