"wl";"up_coef";"dw_coef";"wl_F";"up_coef_F";"dw_coef_F";"Device ID"
649.767841612353;0.00286375608549254;0.00105078904193157;340.547610026211;0.00683162348739273;0.00159889547597985;"JB-023-HT"
649.934333519224;0.0028638192397611;0.00105086639784946;341.300418708898;0.00676471583570917;0.00158238786945559;"Date"
650.100794077329;0.00286388238213835;0.001050943739202;342.05305905638;0.00669782314521498;0.00156588395418967;"20180213"
650.267223283388;0.00286394551262303;0.00105102106598767;342.805531001987;0.00663094542183561;0.00154938373164404;"Technician"
650.433621134118;0.0028640086312139;0.00105109837820494;343.557834479048;0.00656408267149662;0.00153288720328064;"Paul"
650.599987626235;0.00286407173790971;0.00105117567585229;344.309969420894;0.00649723490012335;0.00151639437056142;"Place"
650.766322756458;0.00286413483270923;0.00105125295892819;345.061935760855;0.00643040211364127;0.00149990523494829;"Julich"
650.932626521505;0.0028641979156112;0.00105133022743112;345.81373343226;0.00636358431797593;0.00148341979790324;""
651.098898918093;0.00286426098661439;0.00105140748135955;346.565362368439;0.00629678151905276;0.00146693806088819;""
651.26513994294;0.00286432404571754;0.00105148472071196;347.316822502723;0.00622999372279715;0.00145046002536508;""
651.431349592763;0.00286438709291941;0.00105156194548682;348.068113768441;0.00616322093513463;0.00143398569279586;""
651.59752786428;0.00286445987000788;0.00105164801249907;348.819236098924;0.00609646316199056;0.00141751506464244;""
651.763674754209;0.00286453457218965;0.00105174484917188;349.5701894275;0.00602972040929058;0.00140104814236683;""
651.929790259267;0.00286458490195174;0.00105184207024179;350.3209736875;0.00596299268296006;0.00138458492743093;""
652.095874376173;0.00286458459158738;0.00105192930221005;351.071588812255;0.00589627998892435;0.00136812542129667;""
652.261927101642;0.00286450740318714;0.00105199618333918;351.822034735093;0.00582958233310909;0.00135166962542603;""
652.427948432394;0.00286432712863003;0.00105203236364942;352.572311389345;0.00576289972143965;0.00133521754128093;""
652.593938365146;0.00286401758957466;0.00105202750491523;353.32241870834;0.00569623215984156;0.00131876917032333;""
652.759896896615;0.00286355488163941;0.00105197209399118;354.072356625409;0.00562957965424021;0.00130232451401516;""
652.92582402352;0.00286292410186553;0.00105185988094984;354.822125073882;0.00556294221056102;0.00128588357381835;""
653.091719742577;0.00286211260722552;0.00105168543585915;355.571723987088;0.00549631983472956;0.00126944635119487;""
653.257584050505;0.00286110776915552;0.00105144333498936;356.321153298357;0.00542971253267126;0.00125301284760666;""
653.423416944021;0.002859896973551;0.00105112816081125;357.07041294102;0.00536312031031151;0.00123658306451564;""
653.589218419842;0.00285846762076242;0.00105073450199424;357.819502848406;0.00529654317357583;0.00122015700338376;""
653.754988474688;0.00285680712559084;0.00105025695340448;358.568422953845;0.00522998112838969;0.00120373466567298;""
653.920727105273;0.00285490701262683;0.00104969210548816;359.317173190667;0.00516343418067854;0.00118731605284524;""
654.086434308318;0.00285277519295747;0.00104904450789845;360.065753492202;0.00509690233636784;0.00117090116636247;""
654.252110080539;0.00285042366183027;0.00104832069341924;360.81416379178;0.00503038560138303;0.00115449000768662;""
654.417754418654;0.0028478644009841;0.0010475271874505;361.562404022731;0.00496388398164957;0.00113808257827963;""
654.58336731938;0.00284510937865327;0.00104667050801047;362.310474118384;0.004897397483093;0.00112167887960345;""
654.748948779436;0.00284217054957154;0.00104575716573785;363.05837401207;0.00483092611163869;0.00110527891312002;""
654.914498795538;0.00283905985497622;0.00104479366389411;363.806103637119;0.0047644698732121;0.00108888268029127;""
655.080017364405;0.00283579238795131;0.00104378712305877;364.55366292686;0.00469802877373876;0.00107249018257917;""
655.245504482754;0.00283239588223217;0.00104274715378705;365.301051814624;0.00463160281914404;0.00105610142144563;""
655.410960147303;0.00282890120356587;0.0010416839800406;366.048270233739;0.00456519201535356;0.00103971639835265;""
655.576384354769;0.00282533918257811;0.00104060781414167;366.795318117537;0.00449879636829262;0.00102333511476211;""
655.74177710187;0.00282174061478377;0.00103952885677662;367.542195399348;0.00443241588388666;0.00100695757213596;""
655.907138385324;0.00281813626059756;0.00103845729699945;368.2889020125;0.00436605056806131;0.000990583771936178;""
656.072468201848;0.00281455684534454;0.00103740331223529;369.035437890324;0.00429970042674195;0.000974213715624695;""
656.23776654816;0.00281102564392079;0.00103637386894049;369.781802966151;0.00423336546585392;0.000957847404663424;""
656.403033420978;0.00280753625169547;0.00103536313188526;370.527997173309;0.00416704569132286;0.000941484840514352;""
656.568268817019;0.00280407486021174;0.00103436207497572;371.274020445128;0.00410073803987658;0.000925128851879302;""
656.733472733001;0.00280062767676806;0.00103336168242186;372.01987271494;0.00403446545315406;0.000908799495851824;""
656.898645165641;0.00279718092441344;0.00103235294873442;372.765553916073;0.00396826690420417;0.000892522589811453;""
657.063786111657;0.00279372084194266;0.00103132687872181;373.511063981858;0.00390218131241383;0.000876323915575353;""
657.228895567768;0.00279023368389147;0.00103027448748692;374.256402845624;0.00383624754350435;0.000860229219395751;""
657.39397353069;0.00278670772483633;0.00102918847218414;375.001570440701;0.00377050440952721;0.000844264211957209;""
657.559019997141;0.00278313926771422;0.00102806822346912;375.74656670042;0.00370500500698157;0.000828451520556639;""
657.724034963838;0.0027795266228766;0.00102691480351941;376.49139155811;0.00363985969159434;0.000812801554062271;""
657.8890184275;0.00277586810263696;0.00102572927331767;377.236044947101;0.003575192994681;0.000797321661087754;""
658.053970384844;0.00277216202127035;0.00102451269265215;377.980526800723;0.00351112927511694;0.000782019179912123;""
658.218890832588;0.00276840669501266;0.00102326612011696;378.724837052306;0.00344779271932516;0.000766901438479109;""
